beer_style,votes,review_overall,year,local_review
21,"112,009",4.5,2025,No
9,"112,004",4.62,2025,No
9,"112,003",4.72,2025,No
12,"110,527",4.57,2025,No
40,"17,987",4.51,2025,No
61,"15,374",4.7,2025,No
9,"14,215",4.6,2025,No
61,"14,054",4.45,2025,No
9,"13,473",4.6,2025,No
23,"10,421",4.47,2025,No
23,"10,058",4.5,2025,No
9,"7,598",4.47,2025,No
9,"7,269",4.6,2025,No
23,"6,884",4.61,2025,No
9,"6,811",4.64,2025,No
21,"6,736",4.55,2025,No
61,"6,237",4.55,2025,No
12,"5,852",4.49,2025,No
21,"5,637",4.49,2025,No
30,"5,538",4.51,2025,No
64,"5,116",4.64,2025,No
9,"4,988",4.54,2025,No
61,"4,844",4.49,2025,No
64,"4,577",4.56,2025,No
9,"4,466",4.57,2025,No
9,"4,296",4.48,2025,No
9,"4,284",4.54,2025,No
61,"3,599",4.69,2025,No
64,"3,593",4.57,2025,No
64,"3,473",4.57,2025,No
9,"3,377",4.52,2025,No
61,"3,276",4.49,2025,No
21,"3,258",4.65,2025,No
64,"3,238",4.57,2025,No
9,"3,135",4.47,2025,No
23,"3,004",4.47,2025,No
21,"2,946",4.54,2025,No
64,"2,927",4.63,2025,No
9,"2,889",4.53,2025,No
61,"2,805",4.62,2025,No
61,"2,741",4.63,2025,No
64,"2,638",4.54,2025,No
64,"2,584",4.49,2025,No
9,"2,471",4.51,2025,No
18,"2,414",4.47,2025,No
9,"2,405",4.51,2025,No
64,"2,363",4.48,2025,No
9,"2,343",4.47,2025,No
7,"2,237",4.46,2025,No
7,"2,174",4.46,2025,No
9,"2,173",4.67,2025,No
10,"2,147",4.5,2025,No
61,"2,138",4.6,2025,No
64,"2,128",4.57,2025,No
21,"2,067",4.59,2025,No
9,"2,048",4.46,2025,No
9,"2,019",4.5,2025,No
61,"2,017",4.47,2025,No
21,"1,998",4.62,2025,No
9,"1,945",4.51,2025,No
61,"1,915",4.55,2025,No
21,"1,897",4.62,2025,No
9,"1,832",4.73,2025,No
61,"1,831",4.46,2025,No
12,"1,804",4.57,2025,No
12,"1,799",4.55,2025,No
9,"1,792",4.7,2025,No
64,"1,767",4.57,2025,No
9,"1,718",4.73,2025,No
64,"1,718",4.65,2025,No
9,"1,709",4.48,2025,No
64,"1,702",4.59,2025,No
9,"1,672",4.71,2025,No
64,"1,661",4.54,2025,No
64,"1,653",4.59,2025,No
19,"1,609",4.46,2025,No
61,"1,578",4.64,2025,No
9,"1,576",4.68,2025,No
9,"1,534",4.65,2025,No
9,"1,506",4.49,2025,No
64,"1,465",4.58,2025,No
64,"1,459",4.52,2025,No
12,"1,444",4.52,2025,No
21,"1,443",4.58,2025,No
64,"1,431",4.5,2025,No
7,"1,423",4.48,2025,No
64,"1,393",4.65,2025,No
64,"1,377",4.67,2025,No
12,"1,304",4.5,2025,No
7,"1,299",4.46,2025,No
21,"1,276",4.51,2025,No
7,"1,259",4.62,2025,No
64,"1,252",4.61,2025,No
9,"1,252",4.46,2025,No
9,"1,246",4.53,2025,No
64,"1,243",4.5,2025,No
24,"1,217",4.56,2025,No
21,"1,215",4.5,2025,No
61,"1,185",4.55,2025,No
61,"1,167",4.56,2025,No
21,"1,163",4.58,2025,No
2,"1,148",4.56,2025,No
9,"1,136",4.62,2025,No
64,"1,132",4.52,2025,No
64,"1,122",4.63,2025,No
24,"1,092",4.5,2025,No
64,"1,064",4.5,2025,No
64,"1,057",4.51,2025,No
21,"1,037",4.61,2025,No
7,"1,008",4.52,2025,No
64,"1,001",4.7,2025,No
21,967,4.47,2025,No
21,962,4.51,2025,No
9,961,4.53,2025,No
9,953,4.82,2025,No
9,950,4.49,2025,No
61,937,4.46,2025,No
7,914,4.54,2025,No
61,906,4.53,2025,No
9,904,4.49,2025,No
21,903,4.52,2025,No
21,900,4.52,2025,No
24,899,4.56,2025,No
21,896,4.58,2025,No
9,884,4.54,2025,No
7,859,4.55,2025,No
9,854,4.56,2025,No
64,838,4.6,2025,No
24,831,4.47,2025,No
40,824,4.56,2025,No
21,801,4.48,2025,No
9,791,4.54,2025,No
9,788,4.48,2025,No
24,787,4.48,2025,No
21,780,4.49,2025,No
9,775,4.47,2025,No
64,767,4.52,2025,No
9,765,4.49,2025,No
64,744,4.49,2025,No
9,717,4.47,2025,No
64,697,4.51,2025,No
30,695,4.61,2025,No
9,680,4.52,2025,No
9,666,4.49,2025,No
9,664,4.57,2025,No
9,646,4.47,2025,No
43,636,4.49,2025,No
7,615,4.55,2025,No
64,615,4.5,2025,No
43,591,4.53,2025,No
24,590,4.48,2025,No
64,584,4.54,2025,No
43,574,4.5,2025,No
43,573,4.5,2025,No
24,555,4.52,2025,No
9,551,4.5,2025,No
64,530,4.52,2025,No
64,522,4.47,2025,No
64,521,4.65,2025,No
64,519,4.53,2025,No
27,507,4.5,2025,No
9,500,4.49,2025,No
9,498,4.61,2025,No
64,487,4.53,2025,No
24,474,4.62,2025,No
64,464,4.59,2025,No
9,462,4.48,2025,No
24,456,4.58,2025,No
24,452,4.65,2025,No
43,445,4.51,2025,No
9,443,4.5,2025,No
21,438,4.51,2025,No
9,438,4.5,2025,No
9,437,4.5,2025,No
24,431,4.61,2025,No
21,428,4.7,2025,No
64,419,4.48,2025,No
9,417,4.59,2025,No
21,415,4.58,2025,No
21,401,4.75,2025,No
7,399,4.63,2025,No
24,397,4.6,2025,No
64,390,4.49,2025,No
64,386,4.48,2025,No
9,385,4.69,2025,No
9,379,4.48,2025,No
43,378,4.5,2025,No
2,370,4.51,2025,No
30,365,4.68,2025,No
24,352,4.64,2025,No
64,351,4.54,2025,No
21,348,4.56,2025,No
61,340,4.51,2025,No
64,330,4.49,2025,No
64,325,4.61,2025,No
21,317,4.5,2025,No
3,315,4.66,2025,No
9,309,4.73,2025,No
9,296,4.55,2025,No
64,295,4.51,2025,No
7,288,4.49,2025,No
24,286,4.53,2025,No
2,285,4.47,2025,No
9,284,4.68,2025,No
9,283,4.73,2025,No
64,282,4.57,2025,No
3,279,4.69,2025,No
61,275,4.5,2025,No
9,267,4.56,2025,No
24,260,4.56,2025,No
64,255,4.55,2025,No
24,254,4.5,2025,No
21,252,4.51,2025,No
24,244,4.69,2025,No
9,235,4.56,2025,No
21,233,4.54,2025,No
9,229,4.51,2025,No
9,227,4.54,2025,No
9,222,4.62,2025,No
41,209,4.55,2025,No
24,209,4.51,2025,No
9,208,4.52,2025,No
9,191,4.53,2025,No
3,178,4.74,2025,No
24,174,4.68,2025,No
9,166,4.64,2025,No
9,158,4.58,2025,No
