beer_style,votes,review_overall,year,local_review
9,"1,954",4.27,2025,Yes
9,"1,516",4.24,2025,Yes
64,"1,231",4.23,2025,Yes
9,"6,238",4.22,2025,Yes
9,"1,284",4.21,2025,Yes
9,179,4.19,2025,Yes
64,"3,041",4.19,2025,Yes
9,"1,653",4.19,2025,Yes
9,"1,039",4.19,2025,Yes
64,"1,781",4.18,2025,Yes
64,"1,299",4.18,2025,Yes
64,"1,129",4.18,2025,Yes
64,862,4.17,2025,Yes
9,"1,425",4.17,2025,Yes
9,659,4.17,2025,Yes
64,"1,921",4.17,2025,Yes
9,"1,417",4.17,2025,Yes
64,283,4.17,2025,Yes
9,"1,327",4.17,2025,Yes
9,"2,669",4.17,2025,Yes
64,914,4.16,2025,Yes
9,412,4.16,2025,Yes
64,"1,812",4.16,2025,Yes
9,611,4.15,2025,Yes
3,"1,395",4.15,2025,Yes
23,"1,424",4.15,2025,Yes
64,"1,724",4.15,2025,Yes
9,"3,257",4.15,2025,Yes
9,"4,911",4.14,2025,Yes
64,"1,284",4.14,2025,Yes
61,525,4.14,2025,Yes
64,"1,114",4.14,2025,Yes
64,"1,954",4.14,2025,Yes
9,"9,417",4.13,2025,Yes
7,165,4.13,2025,Yes
61,"3,497",4.13,2025,Yes
64,"1,214",4.13,2025,Yes
61,"4,896",4.13,2025,Yes
64,"1,211",4.13,2025,Yes
23,"1,591",4.13,2025,Yes
9,"2,975",4.13,2025,Yes
9,"3,547",4.13,2025,Yes
9,"1,596",4.13,2025,Yes
9,21,4.13,2025,Yes
9,194,4.13,2025,Yes
9,168,4.12,2025,Yes
64,"2,575",4.12,2025,Yes
9,499,4.12,2025,Yes
64,"3,272",4.12,2025,Yes
9,"1,737",4.12,2025,Yes
