beer_style,votes,review_overall,year,local_review
3,2500,4.78,2025,No
9,2055,4.77,2025,No
9,3716,4.76,2025,No
9,3567,4.75,2025,No
9,2057,4.75,2025,No
9,1948,4.74,2025,No
9,8652,4.73,2025,No
9,28197,4.73,2025,No
9,15962,4.73,2025,No
9,1128,4.72,2025,No
9,1783,4.72,2025,No
9,9660,4.72,2025,No
9,2049,4.71,2025,No
9,1460,4.71,2025,No
9,9918,4.71,2025,No
9,1723,4.71,2025,No
9,27468,4.7,2025,No
9,5957,4.7,2025,No
9,1817,4.7,2025,No
43,3804,4.7,2025,No
9,4588,4.69,2025,No
9,8028,4.69,2025,No
3,1913,4.68,2025,No
3,4647,4.68,2025,No
9,4589,4.68,2025,No
9,3387,4.68,2025,No
9,1260,4.68,2025,No
3,6202,4.67,2025,No
9,6831,4.67,2025,No
9,4782,4.67,2025,No
61,43688,4.67,2025,No
9,9355,4.67,2025,No
9,7723,4.67,2025,No
9,1637,4.67,2025,No
9,2168,4.67,2025,No
9,2061,4.66,2025,No
9,1331,4.66,2025,No
9,6473,4.66,2025,No
9,2713,4.66,2025,No
21,3258,4.65,2025,No
9,2017,4.65,2025,No
9,3853,4.65,2025,No
9,1994,4.65,2025,No
9,1352,4.65,2025,No
9,2997,4.64,2025,No
9,1519,4.64,2025,No
9,3716,4.64,2025,No
20,3554,4.64,2025,No
