beer_style,color,bitterness,alcohol
Amber-Ale,11-18,25-45 I,4.4-6.1
American-Amber-Lager,6-14 ,18-30 I,4.8-5.4
American-Barley-Wine,11-18,60-100 ,8.5-12.
American-Black-Ale,34-38,50-70 I,6-7.5% 
American-Brett,Varie,Varies-,Varies-
American-Brown-Ale,15-26,25-45 I,4.2-6.3
American-Cream-Ale,2-5 S,10-22 I,4.3-5.7
American-Imperial-Porter,39-40,35-50 I,7-12%  
American-Imperial-Red-Ale,10-17,55-85 I,8.0-10.
American-Imperial-Stout,39-40,50-80 I,7-12%  
american-india-pale-ale,6-12 ,50-70 I,6.3-7.5
American-Lager,2-4 S,5-19 IB,4.1-5.1
American-Pale-Ale,6-14 ,30-50 I,4.4-5.4
American-Sour,1-40 ,Varies-,Varies-
American-Stout,40-45,35-60 I,5.7-8.9
American-Style-Wheat-Wine-Ale,5-15 ,45-85 I,8.5-12.
American-Wheat,2-10 ,10-35 I,3.5-5.6
Baltic-Style-Porter,39-40,35-40 I,7.6-9.3
Barrel-Aged-Beer,1-40 ,Varies-,Varies-
Belgian-Style-Blonde-Ale,4-7 S,15-30 I,6.3-7.9
Belgian-Style-Dubbel,16-36,20-35 I,6.3-7.6
Belgian-Style-Flanders,12-25,5-18 IB,4.8-6.6
Belgian-Style-Fruit-Lambic,Varie,15-21 I,5.0-8.9
Belgian-Style-Golden-Strong-Ale,3-10 ,20-50 I,7-11%  
belgian-style-lambic-gueuze,6-13 ,9-23 IB,5.0-8.9
Belgian-Style-Pale-Ale,6-12 ,20-30 I,4-6%  A
Belgian-Style-Quadrupel,8-20 ,25-50 I,7.2-11.
Belgian-Style-Saison,3-7 S,20-38 I,4.4-6.8
Belgian-Style-Tripel,4-7 S,20-45 I,7.1-10.
belgian-style-wit,2-4 S,10-17 I,4.8-5.6
Berliner-Style-Weisse,2-4 S,3-6 IBU,2.8-3.4
Blonde-Ale,3-7 S,15-25 I,4.1-5.1
Bohemian-Style-Pilsener,3-7 S,30-45 I,4.1-5.1
British-Style-Barley-Wine-Ale,14-22,40-60 I,8.5-12%
California-Common,8-15 ,35-45 I,4.6-5.7
Chocolate-Beer,12-50,15-40 I,2.5-12%
Coffee-Beer,4-50 ,15-45 I,2.5-12%
Contemporary-Gose,3-9 S,5-15 IB,4.4-5.4
English-Style-Bitter,5-12 ,20-35 I,3-4.2% 
English-Style-Brown-Ale,12-17,15-25 I,4-5.5% 
English-Style-Brown-Porter,20-35,20-30 I,4.5-6% 
english-style-india-pale-ale,6-14 ,35-63 I,5-7%  A
english-style-dark-mild,17-34,10-24 I,3.2-4% 
English-Style-Oatmeal-Stout,20-50,20-40 I,3.8-6% 
English-Style-Old-Ale,12-30,30-65 I,6.3-9.1
English-Style-Pale-Ale-(ESB),5-16 ,20-40 I,4.5-5.5
English-Style-Sweet-Stout-(Milk-Stout),40-40,15-25 I,3-6%  A
European-Style-Export,3-6 S,23-29 I,5.1-6.1
biere-de-garde,7-16 ,20-30 I,4.4-8% 
fruit-field-or-flavored,5-50 ,5-45 IB,2.5-12%
german-style-brownaltbier,11-19,25-52 I,4.6-5.6
German-Style-Bock,20-30,20-30 I,6.3-7.5
German-Style-Doppelbock,12-30,17-27 I,6.6-7.9
German-Style-Dunkel,15-17,16-25 I,4.8-5.3
German-Style-Dunkelweizen,10-25,10-15 I,4.8-5.4
German-Style-Hefeweizen,3-9 S,10-15 I,4.9-5.6
German-Style-Helles,4-5.5,18-25 I,4.8-5.6
German-Style-Kolsch,3-6 S,18-28 I,4.8-5.3
german-style-heller-bock-maibock,4-9 S,20-38 I,6-8%  A
German-Style-Pilsener,3-4 S,25-50 I,4.6-5.3
German-Style-Schwarzbier,25-30,22-30 I,3.8-4.9
German-Style-Weizenbock,4.5-3,15-35 I,7-9.5% 
gluten-free,1-40 ,Varies-,Varies-
Herb-and-Spice-Beer,5-50 ,5-40 IB,2.5-12%
Honey-Beer,1-50 ,1-100 I,2.5-12%
Imperial-India-Pale-Ale,2-9 S,65-100 ,7.6-10.
Irish-Style-Dry-Stout,35-40,30-40 I,3.8-5% 
irish-style-red,11-18,20-28 I,4.0-4.8
New-England-IPA,3-7 S,30-50 I,6.3-7.5
Pumpkin-Beer,5-50 ,5-70 IB,2.3-12%
Robust-Porter,30-40,25-40 I,5.1-6.6
Rye-Beer,1-40 ,Varies-,Varies-
scotch-ale-wee-heavy,15-30,25-35 I,6.2-8% 
Scottish-Style-Ale,6-19 ,9-25 IB,2.8-5.3
Session-Beer,2-100,10-35 I,3.5-5.0
Smoke-Beer,Varie,Varies-,Varies-
Smoke-Porter,19-20,20-40 I,5.1-8.9
Specialty-Beer,Varie,1-100 I,2.5-25%
Vienna-Style-Lager,12-16,22-28 I,4.5-5.5
german-style-marzen-oktoberfest,4-15 ,18-25 I,5.1-6% 
